,budget,popularity,revenue,runtime,vote_average,2,3,4,5
0,4.535771929159077,3.5163132273234083,14.72758534504673,2.573683381936129,1.021781813057195,515,1795,1386,1162
1,5.962139131648969,3.1924637226813433,4.686135118183104,2.9184438828084405,0.6690166801758985,2975,2193,1386,1253
2,4.716897923126048,2.2881968155602963,4.244646979510283,1.8841623801915064,-0.03651358558669543,3242,11,2809,2743
3,4.830101669355404,2.428978759043065,5.367334941117008,2.7214378823099765,1.4921353235655899,421,65,3191,1289
4,5.056509161814117,0.478575256924383,0.9659408538139377,1.0961383781976521,-0.2716903408408934,860,169,85,2155
5,5.011227663322375,2.525573906494025,4.300692297177584,1.4408988790699635,-0.5068670960950904,20,3132,30,1681
6,5.056509161814117,0.61418962309187,2.656893125524271,-0.47990962579005647,1.2569585683113929,3045,304,2110,2093
7,5.509324146731543,3.0554686207422415,7.1286873079805515,1.5394018793191953,1.1393701906842935,85,2987,962,527
8,4.830101669355404,2.046024710960477,4.537512202862487,2.130419880814586,1.2569585683113929,3063,113,1826,3394
9,4.830101669355404,3.668980045333093,4.203895527983606,2.0319168805653542,-0.7420438513492883,1369,129,89,3
10,5.28291665427283,0.8778235101081933,1.5537209387295232,2.179671380939202,-1.0948089842305848,842,786,3150,3132
11,3.6980642070618397,2.3039408026472663,2.6255413875164133,-0.1844006250423611,-0.2716903408408934,2743,3242,1626,2809
12,3.6980642070618397,3.3853983595758113,5.261371229934213,2.0319168805653542,0.7866050578029969,912,1875,695,281
13,4.943305415584761,0.6245992448194277,-0.10499829934881422,1.9334138803161223,-0.5068670960950904,1197,2872,2869,2770
14,4.264082938208622,2.0606378306162245,3.0474046289018357,1.637904879568427,0.19866316966750255,1681,1641,1136,3132
15,4.264082938208622,0.7652523896005395,1.7107499121802863,1.9826653804407384,-0.03651358558669543,304,109,77,929
16,4.150879191979265,3.3455053859824098,7.756107003248455,1.637904879568427,1.2569585683113929,2779,3063,1756,1593
17,7.773399071318671,3.0878287811640477,5.151743044883118,1.2931443786961156,0.08107479204040408,1376,1221,25,3005
18,4.264082938208622,0.7098249407143172,2.8340472591107506,-0.1844006250423611,-0.1541019632137939,1328,1736,1601,976
19,4.830101669355404,2.6757609787299588,4.658762646058119,1.6871563796930429,0.9041934354300954,301,2514,22,464
